['18073', '13', '19', '24', '25', '29', '02', '08', '2018-06-25'],
['18072', '05', '12', '17', '24', '26', '01', '02', '2018-06-23'],
['18071', '02', '05', '23', '30', '31', '03', '09', '2018-06-20'],
['18070', '02', '05', '10', '16', '30', '04', '07', '2018-06-18'],
['18069', '01', '08', '13', '21', '24', '02', '11', '2018-06-16'],
['18068', '08', '12', '16', '26', '33', '05', '06', '2018-06-13'],
['18067', '03', '07', '12', '18', '31', '07', '10', '2018-06-11'],
['18066', '01', '20', '23', '32', '33', '01', '04', '2018-06-09'],
['18065', '07', '10', '28', '31', '32', '08', '10', '2018-06-06'],
['18064', '01', '03', '04', '11', '29', '02', '04', '2018-06-04'],
['18063', '05', '14', '15', '32', '34', '03', '10', '2018-06-02'],
['18062', '12', '14', '19', '23', '35', '02', '07', '2018-05-30'],
['18061', '04', '10', '12', '28', '31', '08', '11', '2018-05-28'],
['18060', '04', '22', '27', '29', '31', '02', '10', '2018-05-26'],
['18059', '01', '09', '10', '27', '35', '06', '11', '2018-05-23'],
['18058', '09', '11', '12', '26', '32', '04', '10', '2018-05-21'],
['18057', '13', '19', '22', '27', '28', '05', '06', '2018-05-19'],
['18056', '02', '04', '16', '28', '34', '05', '07', '2018-05-16'],
['18055', '03', '07', '20', '33', '34', '09', '10', '2018-05-14'],
['18054', '09', '10', '12', '20', '30', '01', '07', '2018-05-12'],
['18053', '11', '16', '21', '23', '25', '02', '12', '2018-05-09'],
['18052', '05', '16', '18', '19', '25', '02', '07', '2018-05-07'],
['18051', '09', '18', '28', '29', '35', '03', '11', '2018-05-05'],
['18050', '22', '24', '26', '34', '35', '06', '12', '2018-05-02'],
['18049', '04', '07', '09', '10', '13', '06', '12', '2018-04-30'],
['18048', '02', '03', '11', '20', '25', '02', '07', '2018-04-28'],
['18047', '03', '08', '10', '14', '20', '04', '08', '2018-04-25'],
['18046', '10', '20', '22', '29', '32', '05', '10', '2018-04-23'],
['18045', '02', '05', '20', '30', '35', '05', '09', '2018-04-21'],
['18044', '02', '04', '06', '18', '21', '05', '08', '2018-04-18'],
['18043', '03', '06', '13', '28', '33', '04', '11', '2018-04-16'],
['18042', '03', '19', '25', '29', '35', '05', '09', '2018-04-14'],
['18041', '01', '23', '25', '31', '33', '01', '12', '2018-04-11'],
['18040', '05', '07', '18', '27', '31', '01', '08', '2018-04-09'],
['18039', '02', '07', '14', '29', '32', '10', '11', '2018-04-07'],
['18038', '14', '23', '25', '31', '32', '01', '03', '2018-04-04'],
['18037', '01', '03', '27', '30', '31', '02', '11', '2018-04-02'],
['18036', '11', '17', '18', '21', '27', '07', '08', '2018-03-31'],
['18035', '05', '07', '10', '12', '24', '07', '11', '2018-03-28'],
['18034', '08', '11', '22', '27', '32', '03', '07', '2018-03-26'],
['18033', '02', '03', '19', '23', '34', '04', '09', '2018-03-24'],
['18032', '07', '10', '17', '32', '35', '05', '12', '2018-03-21'],
['18031', '03', '08', '13', '17', '23', '05', '11', '2018-03-19'],
['18030', '05', '18', '21', '28', '32', '09', '11', '2018-03-17'],
['18029', '03', '09', '21', '25', '29', '01', '08', '2018-03-14'],
['18028', '04', '19', '25', '30', '35', '04', '07', '2018-03-12'],
['18027', '01', '18', '20', '21', '26', '04', '11', '2018-03-10'],
['18026', '01', '02', '03', '04', '30', '03', '05', '2018-03-07'],
['18025', '07', '08', '09', '15', '34', '07', '08', '2018-03-05'],
['18024', '02', '16', '24', '30', '32', '04', '07', '2018-03-03'],
['18023', '12', '13', '18', '21', '29', '02', '08', '2018-02-28'],
['18022', '02', '10', '19', '33', '35', '05', '06', '2018-02-26'],
['18021', '05', '06', '08', '09', '15', '04', '11', '2018-02-24'],
['18020', '01', '10', '13', '14', '21', '09', '12', '2018-02-14'],
['18019', '10', '11', '19', '21', '28', '05', '12', '2018-02-12'],
['18018', '06', '08', '13', '24', '28', '06', '12', '2018-02-10'],
['18017', '04', '19', '21', '23', '31', '04', '09', '2018-02-07'],
['18016', '01', '02', '12', '13', '23', '09', '12', '2018-02-05'],
['18015', '04', '13', '15', '18', '29', '05', '11', '2018-02-03'],
['18014', '14', '16', '18', '24', '31', '01', '08', '2018-01-31'],
['18013', '08', '24', '31', '33', '35', '07', '10', '2018-01-29'],
['18012', '03', '22', '24', '29', '34', '07', '11', '2018-01-27'],
['18011', '03', '13', '15', '23', '26', '01', '10', '2018-01-24'],
['18010', '24', '25', '26', '28', '29', '04', '12', '2018-01-22'],
['18009', '10', '12', '28', '30', '34', '03', '04', '2018-01-20'],
['18008', '09', '15', '17', '20', '22', '10', '11', '2018-01-17'],
['18007', '03', '04', '28', '31', '34', '04', '11', '2018-01-15'],
['18006', '19', '20', '30', '32', '33', '03', '05', '2018-01-13'],
['18005', '04', '09', '23', '24', '30', '08', '11', '2018-01-10'],
['18004', '04', '09', '22', '28', '30', '01', '10', '2018-01-08'],
['18003', '04', '21', '23', '24', '30', '09', '10', '2018-01-06'],
['18002', '12', '20', '23', '27', '34', '01', '06', '2018-01-03'],
['18001', '01', '13', '22', '25', '35', '03', '04', '2018-01-01'],
['17153', '01', '09', '24', '26', '34', '09', '12', '2017-12-30'],
['17152', '02', '04', '07', '23', '28', '02', '08', '2017-12-27'],
['17151', '05', '06', '23', '28', '32', '04', '05', '2017-12-25'],
['17150', '03', '06', '10', '13', '18', '09', '11', '2017-12-23'],
['17149', '10', '18', '19', '25', '26', '04', '12', '2017-12-20'],
['17148', '19', '27', '31', '32', '35', '11', '12', '2017-12-18'],
['17147', '05', '16', '17', '25', '34', '01', '11', '2017-12-16'],
['17146', '01', '05', '11', '14', '35', '09', '10', '2017-12-13'],
['17145', '04', '07', '17', '18', '19', '03', '10', '2017-12-11'],
['17144', '03', '21', '23', '29', '32', '10', '11', '2017-12-09'],
['17143', '06', '09', '24', '29', '32', '02', '07', '2017-12-06'],
['17142', '01', '05', '16', '19', '28', '02', '10', '2017-12-04'],
['17141', '02', '08', '21', '22', '29', '03', '05', '2017-12-02'],
['17140', '10', '16', '25', '26', '29', '01', '05', '2017-11-29'],
['17139', '02', '06', '19', '25', '32', '09', '12', '2017-11-27'],
['17138', '04', '07', '09', '20', '25', '02', '11', '2017-11-25'],
['17137', '01', '20', '22', '28', '29', '05', '07', '2017-11-22'],
['17136', '01', '11', '20', '21', '22', '03', '04', '2017-11-20'],
['17135', '01', '12', '15', '19', '22', '02', '04', '2017-11-18'],
['17134', '07', '18', '19', '32', '34', '02', '10', '2017-11-15'],
['17133', '15', '17', '19', '32', '33', '01', '03', '2017-11-13'],
['17132', '11', '17', '23', '26', '27', '01', '10', '2017-11-11'],
['17131', '03', '05', '08', '19', '34', '01', '12', '2017-11-08'],
['17130', '05', '18', '28', '33', '34', '03', '04', '2017-11-06'],
['17129', '05', '17', '20', '32', '33', '04', '09', '2017-11-04'],
['17128', '09', '11', '13', '18', '33', '02', '03', '2017-11-01'],
['17127', '02', '15', '18', '21', '22', '03', '10', '2017-10-30'],
['17126', '03', '04', '13', '24', '33', '01', '11', '2017-10-28'],
['17125', '07', '11', '18', '26', '28', '04', '05', '2017-10-25'],
['17124', '03', '29', '30', '32', '35', '03', '08', '2017-10-23'],
['17123', '03', '15', '23', '26', '32', '01', '12', '2017-10-21'],
['17122', '03', '12', '18', '29', '34', '03', '11', '2017-10-18'],
['17121', '01', '06', '12', '26', '31', '01', '07', '2017-10-16'],
['17120', '08', '15', '24', '26', '27', '05', '06', '2017-10-14'],
['17119', '05', '07', '13', '29', '35', '03', '08', '2017-10-11'],
['17118', '02', '07', '16', '20', '33', '03', '11', '2017-10-09'],
['17117', '05', '07', '09', '24', '32', '08', '10', '2017-10-07'],
['17116', '02', '27', '30', '32', '33', '01', '03', '2017-10-04'],
['17115', '14', '19', '20', '25', '31', '06', '08', '2017-10-02'],
['17114', '06', '07', '12', '18', '23', '01', '12', '2017-09-30'],
['17113', '05', '08', '17', '18', '23', '04', '12', '2017-09-27'],
['17112', '05', '06', '20', '31', '32', '06', '12', '2017-09-25'],
['17111', '02', '14', '17', '26', '34', '08', '12', '2017-09-23'],
['17110', '10', '14', '20', '21', '35', '02', '05', '2017-09-20'],
['17109', '06', '09', '19', '26', '34', '05', '07', '2017-09-18'],
['17108', '01', '04', '15', '21', '22', '04', '09', '2017-09-16'],
['17107', '04', '10', '19', '25', '27', '06', '12', '2017-09-13'],
['17106', '09', '12', '18', '23', '29', '02', '04', '2017-09-11'],
['17105', '04', '15', '22', '24', '32', '02', '09', '2017-09-09'],
['17104', '09', '11', '22', '27', '30', '09', '11', '2017-09-06'],
['17103', '04', '19', '20', '24', '29', '03', '04', '2017-09-04'],
['17102', '01', '12', '23', '24', '29', '08', '12', '2017-09-02'],
['17101', '05', '15', '21', '25', '29', '05', '08', '2017-08-30'],
['17100', '02', '05', '18', '19', '31', '01', '09', '2017-08-28'],
['17099', '08', '09', '17', '18', '24', '03', '07', '2017-08-26'],
['17098', '06', '09', '17', '30', '35', '10', '11', '2017-08-23'],
['17097', '07', '14', '19', '22', '34', '07', '12', '2017-08-21'],
['17096', '03', '07', '09', '17', '28', '04', '12', '2017-08-19'],
['17095', '15', '32', '33', '34', '35', '03', '12', '2017-08-16'],
['17094', '03', '05', '08', '29', '33', '04', '08', '2017-08-14'],
['17093', '05', '06', '17', '21', '29', '02', '04', '2017-08-12'],
['17092', '03', '07', '09', '17', '34', '04', '05', '2017-08-09'],
['17091', '01', '05', '07', '16', '19', '03', '12', '2017-08-07'],
['17090', '03', '06', '15', '22', '35', '09', '11', '2017-08-05'],
['17089', '03', '05', '06', '15', '18', '03', '10', '2017-08-02'],
['17088', '05', '28', '31', '34', '35', '08', '09', '2017-07-31'],
['17087', '03', '14', '21', '29', '35', '02', '06', '2017-07-29'],
['17086', '12', '15', '18', '22', '31', '01', '08', '2017-07-26'],
['17085', '09', '13', '14', '25', '30', '02', '05', '2017-07-24'],
['17084', '06', '11', '14', '21', '31', '09', '12', '2017-07-22'],
['17083', '02', '05', '14', '22', '34', '03', '09', '2017-07-19'],
['17082', '05', '13', '20', '21', '25', '08', '09', '2017-07-17'],
['17081', '02', '12', '15', '20', '34', '01', '06', '2017-07-15'],
['17080', '08', '10', '21', '30', '31', '02', '05', '2017-07-12'],
['17079', '01', '17', '19', '32', '33', '02', '11', '2017-07-10'],
['17078', '04', '05', '27', '31', '34', '03', '06', '2017-07-08'],
['17077', '01', '03', '04', '25', '31', '06', '09', '2017-07-05'],
['17076', '02', '07', '25', '30', '35', '07', '12', '2017-07-03'],
['17075', '05', '11', '16', '18', '35', '01', '06', '2017-07-01'],
['17074', '08', '10', '11', '13', '17', '08', '11', '2017-06-28'],
['17073', '07', '18', '28', '31', '33', '01', '02', '2017-06-26'],
['17072', '01', '03', '29', '32', '34', '02', '05', '2017-06-24'],
['17071', '01', '04', '11', '14', '33', '05', '07', '2017-06-21'],
['17070', '06', '16', '18', '26', '30', '02', '03', '2017-06-19'],
['17069', '10', '16', '20', '23', '32', '08', '11', '2017-06-17'],
['17068', '07', '08', '19', '24', '27', '06', '07', '2017-06-14'],
['17067', '10', '17', '18', '32', '35', '10', '11', '2017-06-12'],
['17066', '11', '15', '23', '26', '30', '02', '11', '2017-06-10'],
['17065', '05', '11', '12', '19', '28', '05', '12', '2017-06-07'],
['17064', '01', '08', '20', '27', '30', '03', '04', '2017-06-05'],
['17063', '18', '21', '22', '24', '29', '05', '11', '2017-06-03'],
['17062', '01', '04', '06', '08', '28', '08', '12', '2017-05-31'],
['17061', '10', '19', '23', '25', '30', '02', '04', '2017-05-29'],
['17060', '09', '15', '20', '26', '31', '05', '12', '2017-05-27'],
['17059', '08', '11', '13', '15', '17', '03', '10', '2017-05-24'],
['17058', '14', '18', '20', '21', '28', '03', '06', '2017-05-22'],
['17057', '12', '16', '19', '23', '24', '02', '05', '2017-05-20'],
['17056', '01', '04', '24', '27', '32', '03', '10', '2017-05-17'],
['17055', '19', '20', '22', '30', '33', '03', '09', '2017-05-15'],
['17054', '16', '29', '30', '32', '33', '04', '05', '2017-05-13'],
['17053', '06', '19', '20', '22', '26', '01', '11', '2017-05-10'],
['17052', '03', '19', '24', '28', '33', '04', '12', '2017-05-08'],
['17051', '14', '17', '18', '22', '29', '10', '11', '2017-05-06'],
['17050', '12', '14', '17', '20', '28', '02', '06', '2017-05-03'],
['17049', '09', '12', '14', '22', '31', '05', '08', '2017-05-01'],
['17048', '07', '09', '13', '15', '19', '03', '10', '2017-04-29'],
['17047', '15', '19', '32', '33', '34', '09', '12', '2017-04-26'],
['17046', '04', '17', '20', '23', '30', '02', '03', '2017-04-24'],
['17045', '01', '08', '11', '21', '35', '09', '12', '2017-04-22'],
['17044', '11', '16', '17', '18', '25', '02', '09', '2017-04-19'],
['17043', '06', '13', '22', '25', '35', '09', '12', '2017-04-17'],
['17042', '02', '17', '31', '33', '34', '01', '07', '2017-04-15'],
['17041', '02', '04', '06', '25', '31', '05', '09', '2017-04-12'],
['17040', '04', '06', '10', '23', '29', '09', '11', '2017-04-10'],
['17039', '05', '06', '14', '17', '26', '03', '08', '2017-04-08'],
['17038', '04', '05', '13', '18', '27', '03', '09', '2017-04-05'],
['17037', '13', '15', '16', '32', '34', '06', '11', '2017-04-03'],
['17036', '01', '04', '09', '18', '33', '02', '05', '2017-04-01'],
['17035', '14', '17', '22', '30', '33', '07', '12', '2017-03-29'],
['17034', '06', '12', '21', '26', '29', '02', '11', '2017-03-27'],
['17033', '15', '22', '23', '25', '34', '05', '11', '2017-03-25'],
['17032', '02', '13', '14', '18', '29', '03', '09', '2017-03-22'],
['17031', '02', '16', '17', '30', '32', '02', '09', '2017-03-20'],
['17030', '21', '22', '24', '29', '34', '05', '06', '2017-03-18'],
['17029', '01', '06', '14', '17', '29', '01', '11', '2017-03-15'],
['17028', '06', '18', '22', '23', '33', '09', '11', '2017-03-13'],
['17027', '08', '17', '25', '33', '34', '03', '11', '2017-03-11'],
['17026', '10', '14', '19', '25', '32', '02', '07', '2017-03-08'],
['17025', '10', '16', '19', '20', '34', '04', '05', '2017-03-06'],
['17024', '21', '23', '29', '32', '35', '11', '12', '2017-03-04'],
